HORA, PI0102, FC0104, FC0105, FC0108, TI0201, TC0202, TI0203, TI0204, TI0205, TI0210, TI0211, TI0212, TC0213, PI0214, PI0215, PI0216, FI0219, LC0301, PI0302, FI0446, FC0501, TC0508, PI0509, TC0510, PI0511, TC0512, TI0513, FC0619, FC0629, PI0640,,
19,98.14,1080.95,61.73,3.2,1171.58,1215.04,788.85,619.9,454.44,117.03,469.33,567.75,721.45,-21.32,-179.32,-489.18,61.79,53.97,0.13,158.86,698.81,51.73,-542.81,31.98,-564.48,3.08,-591.88,1627.32,582.11,-626.85,,
20,112.36,1079.92,61.73,3.2,1170.51,1214.79,785.33,604.69,451.63,117.41,459.34,567.19,714.3,-10.36,-172.1,-489.55,59.36,53.9,0.13,159.33,703.74,52.1,-545.67,31.65,-567.52,2.91,-594.63,1595.49,650.02,-629.13,,
21,111.41,1080.73,61.71,3.2,1174.29,1216.46,789.95,619.77,455.93,117.41,465.08,569.48,718.69,-10.8,-171.7,-487.45,61.47,53.82,0.13,160.96,702.81,51.99,-542.72,32.01,-564.34,3.16,-591.25,1620.45,650,-627.11,,
22,110.82,1079.95,61.72,3.2,1175.32,1218.01,790.69,619.92,456.22,117.41,466.2,569.73,720.35,-11.03,-171.64,-486.7,62.16,53.75,0.13,160.05,702.1,51.9,-541.72,31.99,-563.09,3.36,-589.85,1563.72,650.02,-626.35,,
23,107.61,1080.02,61.72,3.11,1178.33,1220.76,792.31,621.69,456.9,117.4,467.86,570.83,723.75,-13.21,-172.73,-485.17,64.18,53.7,0.13,160.42,701.44,51.9,-539.32,31.96,-560.05,5.04,-586.66,1552.65,650,-624.22,,
0,35.82,1081.39,61.71,3.1,915.51,1007.27,639.65,556.18,363.92,114.85,326.03,468.63,646.12,-85.71,-242.63,-545.54,38.47,53.63,0.13,34.66,700.9,53.03,-606.24,32.18,-615.78,4.72,-631.28,1101.65,650.01,-644.15,,
1,-74.31,1176.02,61.71,3.1,682.78,807.33,485.12,431,255.79,110.03,188.06,282.84,535.84,-191.65,-321.1,-575.69,32.22,53.53,0.13,28.37,699.9,54.56,-626.23,31.17,-627.53,0.55,-644.81,432.59,100.96,-648.58,,
2,28.85,1062.56,61.71,2.88,1045.46,1084.68,714.38,600.93,405.38,113.32,397.92,516.25,655.88,-90.51,-246.34,-531.84,38.38,53.46,0.13,184.1,699.41,51.43,-592.78,32.94,-607.78,5.8,-627.67,697.67,69.45,-643.15,,
3,75.64,1022.71,61.72,2.89,1160.77,1191.34,775.6,621.29,447.69,115.76,456.79,564.41,706.25,-43.6,-201.36,-497.39,58.48,53.41,0.13,186.62,700.78,51.29,-553.07,31.85,-571.71,4.76,-595.97,832.71,92.68,-627.92,,
4,97.45,1068.65,61.72,3.04,1178.4,1220.11,784.53,602.17,457.4,117.22,471.98,569.22,727.91,-23.17,-182.17,-482.45,67.09,53.37,0.13,176.76,744.28,52.58,-535.57,31.91,-554.59,3.66,-579.87,1489.11,651.75,-619.45,,
5,88.22,1079.93,61.71,3.02,1173.83,1217.9,782.8,603.88,455.92,116.61,471.01,567.9,725.01,-31.2,-188.62,-486.97,65.48,53.34,0.13,170.23,751.25,52.24,-539.56,31.88,-558.74,3.54,-583.99,1475.89,640.02,-622.2,,
6,92.6,1079.94,61.72,3.1,1178.08,1220.57,785.65,598.5,458.05,117.01,472.72,568.65,727.46,-27.33,-185.33,-485.18,66.47,53.25,0.13,169.24,751.09,52.35,-537.88,32.06,-557.29,4.01,-582.53,1475.89,637.28,-621.74,,
7,77.69,1079.89,61.71,3.1,1178.74,1218.57,783.64,597.15,456.9,116.52,474.65,567.21,727.96,-39.76,-194.3,-487.63,65.9,52.83,0.13,165.78,749.58,52.08,-539.09,31.18,-557.66,7.25,-583.31,1440.66,619.54,-621.61,,
8,35.5,1026.92,58.38,3.1,953.24,1040.9,675.68,562.43,392.22,114.86,373.95,500.29,667.41,-84.3,-241.46,-533.26,42.58,52.51,0.13,61.76,750.79,52.51,-592.25,29.95,-602.64,11.26,-620.9,1045.02,492.25,-637.61,,
9,-87.2,873.44,49.84,2.88,866.45,950.66,617.29,535.75,347.66,110.28,319.84,422.93,612.08,-192.97,-323.42,-570.04,28.53,52.33,0.14,114.77,747.3,49.99,-622.84,27.61,-629.33,12.21,-645.9,393.13,66.42,-647.84,,
10,-158.95,805.4,46,2.41,1066.57,1105.95,745.11,622.67,460.88,106.23,514.36,550.79,709.75,-240.4,-347.4,-544.95,52.84,52.33,0.15,154.03,712.53,49.25,-577.22,30.23,-590.27,8.57,-614.47,835.85,349.48,-630.96,,
11,-74.93,799.91,45.72,2.4,1110.65,1146.75,764.77,603.01,467.3,109.6,509.37,565.11,729.25,-169.14,-292.96,-524.17,60.72,52.34,0.16,150.63,682.48,48.96,-562.1,30.04,-577.12,5.98,-601.69,1101.08,460.09,-625.14,,
12,-60.65,799.97,45.72,2.4,1118.22,1154.69,767.04,609.5,466.75,109.97,504.78,567.09,727.62,-157.06,-283.66,-521.5,60.19,52.37,0.17,149.15,593.09,48.99,-560.44,32.52,-577.97,3.63,-604.16,1114.11,437.17,-626.96,,
13,-43.21,860.62,49.3,2.58,1125.88,1161.46,768.77,610.15,466.19,110.95,501.66,566.27,727.33,-142.56,-272.64,-517.9,60.14,52.25,0.17,151.08,561.5,49.04,-558.31,33.06,-576.81,3.18,-603.59,1123.18,429.98,-627.41,,
14,-12.63,900.18,51.44,2.7,1138,1171.69,774.01,597.28,467.32,112.16,496.54,568.26,727.59,-116.95,-253.36,-511.18,60.62,52.14,0.16,155.55,570.3,49.09,-553.9,33.07,-573.1,3.92,-600.72,1143.16,429.99,-627.05,,
15,18.69,916.41,52.45,2.75,1151.71,1182.97,779.19,601.27,468.02,113.24,489.98,570.71,727.44,-90.38,-233.3,-503.57,62.24,52.08,0.15,159.15,587.28,49.08,-548.51,32.98,-568.04,4.58,-596.01,1170.27,440.53,-625.75,,
16,58.48,987.86,56.53,2.96,1163,1194.39,785.39,619.76,469.7,114.51,482.94,572.74,727.13,-56.64,-207.85,-494.02,62.87,52.01,0.15,167.17,619.74,49.66,-542.44,33.25,-562.9,5.98,-591.85,1257.24,496.81,-624.29,,
17,66.56,999.91,57.15,3,1167.6,1199.96,786.51,621.82,469.09,114.84,479.71,572.95,727.96,-49.86,-202.54,-491.61,63.02,51.97,0.15,166.08,640.4,49.8,-540.31,32.82,-560.52,8.44,-590.31,1412.9,645.15,-623.53,,
18,71.11,999.92,57.14,3,1172.02,1203.28,786.16,620.02,467.69,115.13,476.86,572.52,727.82,-46.04,-199.75,-490.97,62.9,51.93,0.14,164.81,682.7,49.87,-540.21,33.24,-560.86,5.83,-589.65,1439.47,670,-623.87,,
19,68.53,999.71,57.14,3,1170.47,1203.97,786.09,620.02,466.65,114.66,476.09,572.46,728.16,-48.09,-201.39,-492.15,62.78,51.89,0.14,163.05,697.4,49.72,-541.38,32.92,-561.87,3.64,-589.99,1523,673.3,-624.48,,
20,61.25,1000.6,57.15,3,1167.99,1202.14,785.11,620,466.14,114.57,477.17,571.98,728.16,-54.07,-205.91,-493.9,62.3,51.87,0.14,160.78,695.45,49.48,-542.62,32.92,-562.92,3.64,-590.46,1567.94,714.34,-625.2,,
21,50.75,999.91,57.14,3,1164.42,1199.78,783.01,619.98,465.95,114.52,479.43,570.89,728.03,-62.81,-212.43,-496.56,61.99,51.85,0.14,158.94,696.84,49.18,-544.68,33.01,-564.99,3.57,-592.06,1606.13,749.99,-626.22,,
22,51.16,1000.03,57.14,3,1164.68,1199.95,782.98,619.94,465.5,114.6,479.41,570.83,727.98,-62.43,-212.21,-496.68,61.75,51.84,0.14,159.06,698.55,49.19,-544.97,32.94,-565.21,3.91,-591.94,1600.3,749.97,-626.55,,
23,47.91,999.88,57.13,3,1163.77,1199.7,782.58,616.38,465.25,114.58,479.61,570.79,728.05,-65.01,-214.13,-497.32,62.08,51.81,0.13,158.78,700.34,49.22,-545.55,32.93,-565.74,3.73,-592.08,1611.3,764.45,-626.91,,
0,45.85,999.85,57.15,3,1163.86,1199.62,782.51,618.02,464.87,114.3,479.68,570.47,727.97,-66.6,-215.32,-497.68,61.89,51.77,0.13,157.32,700.8,49.15,-545.92,33.18,-566.15,3.72,-592.22,1615.42,769.97,-627.17,,
1,43.89,999.87,57.14,3,1164.01,1200.26,782.04,605.16,463.82,113.72,479.76,569.84,727.97,-67.93,-216.36,-498.13,61.66,51.75,0.13,156.96,701.72,49.04,-546.37,33.03,-566.29,3.52,-591.86,1618.2,770.33,-627.16,,
2,41.59,999.9,57.13,3,1164.03,1200.14,781.76,603.78,463.21,113.65,479.93,569.85,728.1,-69.74,-217.75,-498.87,61,51.72,0.13,155.78,702.32,48.96,-547.22,32.97,-567.03,3.67,-592.21,1685.53,770.01,-627.72,,
3,31.94,1000.43,57.15,3,1160.16,1197.21,780.55,603.38,463.77,113.64,482.43,569.57,728.28,-77.86,-223.78,-500.89,60.11,51.67,0.13,154.54,702.08,48.96,-548.58,32.87,-568.17,3.61,-593.09,1661.38,752.76,-628.36,,
4,53.43,1000.02,57.12,3,1171.77,1205.24,782.54,608.08,461.72,114.33,477.56,569.83,727.07,-59.52,-210.14,-496.41,59.82,51.64,0.13,158.85,704.86,49.07,-545.92,33.13,-566.11,3.8,-591.61,1664.41,725.58,-628.93,,
5,61.08,999.93,57.14,3,1174.05,1208.79,785.32,619.25,459.45,114.6,475.39,570.19,728.14,-52.48,-204.74,-493.59,60,52.8,0.12,158.29,706.19,49.05,-543.28,33.08,-563.24,3.66,-587.52,1703.74,719.98,-626.35,,
6,52.82,999.98,57.14,3,1194.08,1216.46,780.64,601.6,453.52,114.48,471.66,567.95,727.44,-59.05,-209.46,-495,59.12,53.03,0.11,156.75,703.7,48.97,-544.26,32.98,-563.69,3.84,-586.74,1693.56,710.77,-626.43,,
7,61.78,1000.26,57.13,3,1180.93,1215.31,783.64,600.92,454.89,114.89,472.66,569.29,728.18,-51.65,-203.96,-492.63,59.55,52.88,0.11,157.29,702.54,49.03,-542.59,33.05,-561.97,4,-584.45,1660.74,679.99,-625.72,,
8,69.12,999.91,57.15,3,1177.53,1214.81,785.68,606.11,456.99,115.54,473.32,570.44,728.09,-45.55,-199.45,-490.8,60.51,52.63,0.11,157.62,705.65,49.01,-541.39,33.07,-560.68,4.16,-583.05,1675.05,648.61,-625.12,,
9,69.32,999.73,57.14,3,1177.14,1214.22,785.79,611.84,456.68,115.54,473.85,570.37,727.9,-45.59,-199.61,-491.26,57.93,51.55,0.12,157.89,704.29,48.95,-542.56,32.86,-561.82,5.07,-584.43,1645.83,600.92,-628.96,,
